KEY,d13C _Sample,Formation,Std_Fm_Name,Location,Lat,Long,Age,Uncertainty,Known_Uncertainty,Lithology,HC_Ratio,N,Reference,Flags,Notes,Uncertainty_Method
241,17019,Onverwacht Group ,Onverwacht Gp,Zimbabwe,-19.2,30.1,3450,173,,CH,0.96,,Strauss 1992 17.9,,,
166,17020,Paradise Creek Formation ,"Paradise Creek Fm, McNamara Gp",Australia,-23.7,134.1,1650,83,,CH,0.2,,Strauss 1992 17.9,,,
62,17021,Pertatataka Formation ,Pertatataka Fm,Australia,-23.7,134.1,610,31,,SH,0.66,,Strauss 1992 17.9,,,
171,15683,Rove Formation ,Rove Fm,USA,40.7,-96.2,1900,95,,SH,0.41,,Strauss 1992 17.9,,,
92,15841,Skillogalee Dolomite ,Skillogalee Dolomite,Australia,-23.7,134.1,770,39,,CH,0.19,,Strauss 1992 17.9,,,
93,17022,Skillogalee Dolomite ,Skillogalee Dolomite,Australia,-23.7,134.1,770,39,,CARB,0.1,,Strauss 1992 17.9,,,
94,17023,Skillogalee Dolomite ,Skillogalee Dolomite,Australia,-23.7,134.1,770,39,,CH,0.2,,Strauss 1992 17.9,,,
95,17024,Skillogalee Dolomite ,Skillogalee Dolomite,Australia,-23.7,134.1,770,39,,CARB,0.1,,Strauss 1992 17.9,,,
96,17025,Skillogalee Dolomite ,Skillogalee Dolomite,Australia,-23.7,134.1,770,39,,CARB,0.33,,Strauss 1992 17.9,,,
97,17026,Skillogalee Dolomite ,Skillogalee Dolomite,Australia,-23.7,134.1,770,39,,CH,0.31,,Strauss 1992 17.9,,,
98,17027,Skillogalee Dolomite ,Skillogalee Dolomite,Australia,-23.7,134.1,770,39,,CARB,0.27,,Strauss 1992 17.9,,,
99,17028,Skillogalee Dolomite ,Skillogalee Dolomite,Australia,-23.7,134.1,770,39,,CARB,0.23,,Strauss 1992 17.9,,,
185,15918,Steeprock Group ,Steep Rock Gp,Canada,59.6,-103.1,2600,130,,CH,0.77,,Strauss 1992 17.9,,,
242,15981,Swartkoppie Formation ,Swartkoppie Fm,South Africa,-28.7,25.3,3450,173,,CH,0.1,,Strauss 1992 17.9,,,
243,15982,Swartkoppie Formation ,Swartkoppie Fm,South Africa,-28.7,25.3,3450,173,,CH,0.09,,Strauss 1992 17.9,,,
244,15983,Swartkoppie Formation ,Swartkoppie Fm,South Africa,-28.7,25.3,3450,173,,CH,0.3,,Strauss 1992 17.9,,,
67,16122,Tapley Hill Formation ,"Tapley Hill Fm, Umberatana Gp",Australia,-23.7,134.1,750,38,,SH,0.17,,Strauss 1992 17.9,,,
68,16123,Tapley Hill Formation ,"Tapley Hill Fm, Umberatana Gp",Australia,-23.7,134.1,750,38,,SH,0.25,,Strauss 1992 17.9,,,
69,16124,Tapley Hill Formation ,"Tapley Hill Fm, Umberatana Gp",Australia,-23.7,134.1,750,38,,SH,0.11,,Strauss 1992 17.9,,,
70,16125,Tapley Hill Formation ,"Tapley Hill Fm, Umberatana Gp",Australia,-23.7,134.1,750,38,,SH,0.15,,Strauss 1992 17.9,,,
71,16126,Tapley Hill Formation ,"Tapley Hill Fm, Umberatana Gp",Australia,-23.7,134.1,750,38,,SH,0.15,,Strauss 1992 17.9,,,
72,16127,Tapley Hill Formation ,"Tapley Hill Fm, Umberatana Gp",Australia,-23.7,134.1,750,38,,SH,0.18,,Strauss 1992 17.9,,,
73,16128,Tapley Hill Formation ,"Tapley Hill Fm, Umberatana Gp",Australia,-23.7,134.1,750,38,,SH,0.19,,Strauss 1992 17.9,,,
74,17029,Tapley Hill Formation ,"Tapley Hill Fm, Umberatana Gp",Australia,-23.7,134.1,750,38,,SH,0.19,,Strauss 1992 17.9,,,
