Field ID,Stratigraphic Position Relative to Khc/PgFtu Contact [m],Percent Sand,Percent Silt,Percent Clay,Percent Organic,Rock Type,d13C [‰] (PDB),Standard Devation [‰],Weight Percent Organic Carbon,Excursion
Herman Ridge Section,,,,,,,,,,
MT00-215,0.05,,,,,,-23.7,0.01,56.6,
MT00-175,0.14,,,,,,-23.06,0.11,0.1,
MT00-174,0.1,,,,,,-23.89,0.04,0.2,
MT00-172,0.08,,,,,,-25.48,0.09,0.2,
MT00-172,0.06,,,,,,-25.53,0.07,45.5,
MT00-171,0.04,,,,,,-25.92,0.02,33.5,
MT00-170,0.02,,,,,,-27.6,0.25,45.7,
MT00-169,0,,,,,,-28.59,0.1,27.3,
MT00-168,-0.01,,,,,,-25.32,0.12,3.8,
MT00-167,-0.11,,,,,,-25.65,0.05,4.4,
MT00-166,-0.21,,,,,,-25.57,0.13,2.8,
MT00-165,-0.31,,,,,,-25.08,0.04,3.8,
MT00-164,-0.41,,,,,,-25.31,0.2,2.8,
MT00-163,-0.51,,,,,,-25.53,0.11,2.2,
MT00-162,-0.61,,,,,,-25.22,0.04,2.4,
MT00-161,-0.71,,,,,,-25.52,0.22,2.1,
MT00-160,-0.81,,,,,,-25.04,0.03,2.2,
,,,,,,,,,,
Rick's Place,,,,,,,,,,
MT00-175,0.14,,,,,,-23.06,0.11,0.1,
MT00-174,0.1,,,,,,-23.89,0.04,0.2,
MT00-172,0.08,,,,,,-25.48,0.09,0.2,
MT00-172,0.06,,,,,,-25.53,0.07,45.5,
MT00-171,0.04,,,,,,-25.92,0.02,33.5,
MT00-170,0.02,,,,,,-27.6,0.25,45.7,
MT00-169,0,,,,,,-28.59,0.1,27.3,
MT00-168,-0.01,,,,,,-25.32,0.12,3.8,
MT00-167,-0.11,,,,,,-25.65,0.05,4.4,
MT00-166,-0.21,,,,,,-25.57,0.13,2.8,
MT00-165,-0.31,,,,,,-25.08,0.04,3.8,
MT00-164,-0.41,,,,,,-25.31,0.2,2.8,
MT00-163,-0.51,,,,,,-25.53,0.11,2.2,
MT00-162,-0.61,,,,,,-25.22,0.04,2.4,
MT00-161,-0.71,,,,,,-25.52,0.22,2.1,
MT00-160,-0.81,,,,,,-25.04,0.03,2.2,
,,,,,,,,,,
